"quantile","threshold","group","size","weighted_clustering","unweighted_clustering","density","weighted_assortativity","unweighted_assortativity","size_(%)","size_ratio"
0.35,0.270969699,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.35,0.270969699,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.35,0.270969699,"2",0,"","","","","",0,0.0
0.36,0.2725086864,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.36,0.2725086864,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.36,0.2725086864,"2",0,"","","","","",0,0.0
0.37,0.2740476738,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.37,0.2740476738,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.37,0.2740476738,"2",0,"","","","","",0,0.0
0.38,0.2755866612,"0",5,0.2611440584916409,0.3333333333333333,0.5,-0.5637816930233399,-0.5624999999999999,100,1.0
0.38,0.2755866612,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.38,0.2755866612,"2",0,"","","","","",0,0.0
0.39,0.27756864700000006,"0",4,0.4570021023603716,0.5833333333333333,0.6666666666666666,-0.6272655881966924,-0.7142857142857143,80,0.8
0.39,0.27756864700000006,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.39,0.27756864700000006,"2",0,"","","","","",0,0.0
0.4,0.28309462,"0",4,0.4570021023603716,0.5833333333333333,0.6666666666666666,-0.6272655881966924,-0.7142857142857143,80,0.8
0.4,0.28309462,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.4,0.28309462,"2",0,"","","","","",0,0.0
0.41,0.28862059300000004,"0",4,0.4570021023603716,0.5833333333333333,0.6666666666666666,-0.6272655881966924,-0.7142857142857143,80,0.8
0.41,0.28862059300000004,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.41,0.28862059300000004,"2",0,"","","","","",0,0.0
0.42,0.294146566,"0",4,0.4570021023603716,0.5833333333333333,0.6666666666666666,-0.6272655881966924,-0.7142857142857143,80,0.8
0.42,0.294146566,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.42,0.294146566,"2",0,"","","","","",0,0.0
0.43,0.299672539,"0",4,0.4570021023603716,0.5833333333333333,0.6666666666666666,-0.6272655881966924,-0.7142857142857143,80,0.8
0.43,0.299672539,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.43,0.299672539,"2",0,"","","","","",0,0.0
0.44,0.305198512,"0",4,0.4570021023603716,0.5833333333333333,0.6666666666666666,-0.6272655881966924,-0.7142857142857143,80,0.8
0.44,0.305198512,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.44,0.305198512,"2",0,"","","","","",0,0.0
0.45,0.311072236,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.45,0.311072236,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.45,0.311072236,"2",0,"","","","","",0,0.0
0.46,0.31722416080000004,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.46,0.31722416080000004,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.46,0.31722416080000004,"2",0,"","","","","",0,0.0
0.47,0.3233760856,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.47,0.3233760856,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.47,0.3233760856,"2",0,"","","","","",0,0.0
0.48,0.3295280104,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.48,0.3295280104,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.48,0.3295280104,"2",0,"","","","","",0,0.0
0.49,0.3356799352,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.49,0.3356799352,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.49,0.3356799352,"2",0,"","","","","",0,0.0
0.5,0.34183186,"0",4,0.0,0.0,0.5,-0.4709396613748511,-0.5,80,0.8
0.5,0.34183186,"1",4,0.6929964430567616,1.0,1.0,-0.33333333333333326,"",80,0.8
0.5,0.34183186,"2",0,"","","","","",0,0.0
